2023-06-16 08:16:35,591 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 2.6790265649638445e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,591 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 2.6790265649638445e-05 None
2023-06-16 08:16:35,595 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0212543540031536 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,595 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0212543540031536 None
2023-06-16 08:16:35,595 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.042757786231593466 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,599 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.042757786231593466 None
2023-06-16 08:16:35,602 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.07703820176442112 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,602 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.07703820176442112 None
2023-06-16 08:16:35,602 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 4.428166677504237e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,602 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 4.428166677504237e-05 None
2023-06-16 08:16:35,609 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.2926735508255818e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
